Isolate	contig	emm-type	pident	length
612963	612963_18_length_23566_cov_4.993430	STG6.1	100.000	180
613351	613351_4_length_124368_cov_31.237836	STG643.0	100.000	180
613458	613458_4_length_151125_cov_79.306984	EMM87.0	100.000	180
613460	613460_4_length_177229_cov_64.557684	EMM12.37	100.000	180
613470	613470_2_length_178346_cov_76.465063	EMM89.0	100.000	180
613488	613488_3_length_123086_cov_36.800259	EMM1.0	100.000	180
613947	613947_2_length_178449_cov_101.098911	STG62647.0	100.000	180
613949	613949_2_length_176373_cov_70.704873	STG10.0	100.000	180
